編號,Pazeh,華語,頁碼
1,dahilen nimisiw,(我) 被 他 嚇 到 了 !,4
2,masidadahil,"驚訝 , 嚇 到",4
3,maasidadahil,互相 驚嚇,4
4,midadihil yamisiw aku,我 嚇唬 他 們,4
5,ana midahin,別怕,4
6,maideh a muzakay,走 得 快,4
7,maideh dalum,水 流 湍 急,4
8,imisiw ka maideh mitalam,你 跑 得 快,4
9,imisiw muzakay ka maideh,他 走 得 快,4
10,imini a rangasat ka naki a aideman,此 床 是 我 睡 的 地 方,4
11,midem lia ki rakihan,小 孩 睡 了,4
12,maidemay lia,就 要 睡 了,4
13,maidem lia ki rakihan,小 孩 在 睡,4
14,liaka paidemen di bayu,然後 讓 你 睡 在 水 旁,4
15,haideng a buxu,懷孕,4
16,"liaka puzah adang a rubang mamais, nahani miliw dalum.",然後 一 個 姑娘 來 挑 水,4
17,ima ki maideh?,誰 快,4
18,ima ka nisiw a rakihan?,誰 是 你 的 小 孩,4
19,"ima, ima mamaleng ka magizem dadua.",看 哪 一 個 少年 最 強壯,4
20,haiki ima pai misiw?,他 好 像 像 誰,4
21,ima ka minututing isiw?,誰 打 了 你,4
22,isiw ka mikita ima di binayu?,你 在 山 裡 看 到 誰,4
23,mikita ima pai siw?,你 看 到 誰,4
24,ima pai yamisiw?,那 些 是 誰,4
25,mia’ima ki uzay nisiw a rakihan?,哪 一 個 不 是 你 的 小 孩,4
26,nima ki umamah?,這 是 誰 的 田,4
27,dua nima xuma pai mini?,這 是 誰 的 ( 指 多 數 人 的 ),4
28,minima a daxe?,誰 的 (多 數 ) 十 地,4
29,minataxubilih,本 來 要 回 去,4
30,imini ka minah aunu nisiw,這 個 以 後 再 給 你,4
31,zakay minah lai yasia,他 們 在 走 (路 ),5
32,"zakay minah, makamasakelay xamaxam lai yasia","他 們 在 走 , 將 到 時 他 們 摸 一 摸",5
33,puzah minang lia ku,我 再 來 一 次 了,5
34,alu paxuruma aingaingar,來種各種蔬菜水果,5
35,ini mukusa aku,我沒去,5
36,ini mausay aku,我 不 想 去,5
